제목,아이디,댓글 내용,좋아요 수,라벨,감정
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-wo1gv2xs9w,왜이런 인물이 자유당에 있었을까? 장재원.김진태.민경욱.여상규.곽상도.전희경 김도읍.이은재. 김정재이들은 왜불출마 선언 안하나? 국민들이 기다리고있다.,14,a,-1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-vv5es3ud9v,그래도 제정신인 사람이 한명은 있었네...,25,a,1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-it6pc8ic7y,"""""한국당 존재 자체가 민폐.""한국당에  이런 정상적인 인물도 있네. ㅎㅎ",10,a,1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-cf6or2ur6g,자한당 오랫만에 옳은소리하는걸 봤네ㅎㅎ,10,a,1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",#NAME?,4년만에  오른말 하는  자한당 처음 봄.  이런분도  계셨군요.  하도  황씨 나씨 같은사람이  설치니 멀쩡한 사람 자한당에 없는줄  알았음,5,a,1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-qg8bp9eo7n,김세연 의원님 타고난 선택하셨네요 정말 결정 잘하셨어요 축하합니다,3,a,1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-MarecoseDavinci,화 !! 최근 자유한국당 극혐 이었는데... 정도의 길을 걷는 의원이 소수는 있었구나..... 멋지다잉.... 갑부 김세연 양반......,4,a,1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-bd6ur2js7g,완전공감가는 내용~~♡♡♡♡,2,a,1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@changwanyu4231,비록 다른 당을 지지합니다만 소신발언 응원합니다.,2,a,1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-kf4yf7ov3f,정확한시국의민심을알고있는가.그래도일말의양심가책있는있는사람인가.,3,a,1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@kerkk5622,부산시장 선거에 꼭 나와라,1,a,1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-cv8eq4wt6m,헐  한국당에 사람이있었나??,3,a,-1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-op5bu7jq1o,그나마  쪼금 양심있네,1,a,1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-su1ng2hm5e,사퇴해서 될일아닌듯 이제시작인데,1,a,-1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-bj1nn1qg1n,"기득권층.좌.우파 모두 빈손으로 다시 시작할 각오로, 화이팅.",4,a,1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-lp3ho5fd2h,우와   이런분들이  진정한   보수다 김세연의원님   정말최고,7,a,1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-xy9no7fv4j,한국당  없어지고 비리 있는 국회의원들 다  사퇴해라 또한 한국당  있는  나베당 쫄개들 모두 집에서 반성하고  집안에 신경써라애들이 망가지고  있다,4,a,-1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@cheonlee-eg5xz,김세연 님 의원 출마는 철회 내년 총선에서 [승리 하세요. 당부드립니다. ^^*,2,a,1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-qw3gf1vd1j,드디어 무너지기 시작하는구나 남는건 돌아이들만 남겠네,1,a,1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@bluej8089,안된다. ~~   황교안..나경원.   고고씽. !!! 완죤.. 쫄망할 때까지만 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,a,-1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-rk9kx1hy8d,그당 종말의 서곡?,1,a,-1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@fo1630,물귀신작전,1,a,1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@ttv9585,한국당에 이한 정상적인 생각 가진 사람도 있네 ㅋㅋㅋ 내년 총선 두고 보자! ㅋㅋㅋ 전국은 민주당으로 물들거임 ㅋㅋㅋ,2,a,1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-ik6to4uq1v,ㅋㅋ 듣보잡인거보니 자한당에서 버림받앗구만 하긴자한당에서 버림받앗다면 사람축에 드는인물이란말이내 차라리 잇던자리에서 끝까지 싸우시지 어차피 담총선까지 포기했는대,2,a,-1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-th2kp7nr4s,백번 맞는 말인데..왠지 안습이네..탄핵정국이후 보수꼴통들로부터 외면받자 결국 지들 밥그릇 때문에 탄핵때의 결기를 꺽고 니들 스스로 그 추접한 곳에 다시 기어들어갔잖아.. ㅉㅉ..,1,a,-1
"한국당 김세연, 총선 불출마 선언..._당 해체하고 황교안·나경원도 물러나야_ _ YTN",@user-cd1nn7mi4z,민주당에는 이런 멋진사람이 없을까  댓글들보니  가관이다 그늠의 무슨당이 어쩌고 저쩌고 똘개이들 정당들이  그늠들이 그늠들이지,2,b,1
與 총선기획단 첫 회의..._이기는 선거_ _ YTN,@user-lp3ho5fd2h,이 해 찬 수호 존경합니다  ,2,a,1
與 총선기획단 첫 회의..._이기는 선거_ _ YTN,@sungwookbaek4170,당대표 흔들지 마라!!! 총선까지 사간 얼마 남았냐? 시간도 없고... 이해찬 대표 만한 지략가 없다,2,a,-1
"유민봉, 총선 불출마 선언...한국당서 처음 _ YTN",@ehs3863,자한당이 나가라고 압박했겠지.,4,a,-1
"유민봉, 총선 불출마 선언...한국당서 처음 _ YTN",@intang1194,저런 양반이 왜 자한당엘 갔냐..,1,a,-1
與 총선기획단 발족...양정철·금태섭·황희두 등 15명 _ YTN,@kkisuda,금태섭은 나가야할 사람이 왜 거기에 끼지???,4,b,-1
與 총선기획단 발족...양정철·금태섭·황희두 등 15명 _ YTN,@user-dk3ki5gt1h,금타섭  좀  위험인물인것같은데~~재명시키십시요~,1,b,-1
與 총선기획단 발족...양정철·금태섭·황희두 등 15명 _ YTN,@user-ig4ej7or8d,더민주 홧팅.,1,b,1
與 총선기획단 발족...양정철·금태섭·황희두 등 15명 _ YTN,@user-rz9wd2nx9x,금씨는 금사탕 하나 물려주었으니 금값해라,1,b,-1
與 총선기획단 발족...양정철·금태섭·황희두 등 15명 _ YTN,@user-dk3ki5gt1h,금타섭   아웃,1,b,1
與 총선기획단 발족...양정철·금태섭·황희두 등 15명 _ YTN,@user-rb7ph2wr6d,금태섭 왜 거기에 끼었어요? 민주당에서 퇴출시킬놈을 끼워놓으면 어떻게합니까? 빼주세요.말도안됩니다.,1,b,-1
與 총선기획단 발족...양정철·금태섭·황희두 등 15명 _ YTN,@user-lp3ho5fd2h,금태섭  왜,4,b,-1
與 총선기획단 발족...양정철·금태섭·황희두 등 15명 _ YTN,@hnc343,금태섭 한국당으로~,1,a,1
與 총선기획단 발족...양정철·금태섭·황희두 등 15명 _ YTN,@flowers_2015,금태섭. 민주당 망하게 할려고 끼워넣음??,1,b,-1
_물갈이·통합·영입_...여야 총선체제 본격 시동 _ YTN,@minkookdaehan1385,민주당은 이번에 잘해야 적폐 숭일 야당을 제거할 수 있습니다. 돈받고 공천하는 짓을 하면 끝장입니다.,2,b,-1
_물갈이·통합·영입_...여야 총선체제 본격 시동 _ YTN,@user-kq8ne1cl5k,애국보수 사케찬,1,a,1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@aaba0125,1년전 고민이어도 달라진 게 없네,3,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@user-cb4zu4sp9l,이미 전역한 사람은 뭐로 돌릴래? 여성 할당 같은 거나 좀 건드려라..,97,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@NaeMutt,남자가 범죄자라는데 왜 뽑아야됨?,73,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@blacksmith1150,감성적으로 정치를 하면 제대로 할 수 없습니다...절대 그래서는 안됩니다. 실과 득을 확실히 따져야 하는 일인데 감정적으로 대처한다면 당장은 아니지만 언젠간 나라의 기반은 흔들리고 무너집니다.,14,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@user-yi4xc2zr8p,2030 남성들은 이미 민주당 손절하고 등돌렸다,12,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@li5523,아니 여가부 폐지하고 군복무에대한 제대로된 보상을 준다면 틀림없이 지지율이 오를거다,5,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@user-vr1wj1qo9s,표 결과 보면 20대 뿐만아니라전연령 남녀모두 개빡쳐있음물론 대깨 제외,18,b,1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@user-lx5eu6np6j,에초에 저놈들이 우릴 무시하는 이유가 우리가 투표율이 낮아서 지들 당선되는데 별 영향 없으니 우릴 깔보는 거지,3,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@ratel74,메갈당이 남성표를 얻겠다고? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,26,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@edge0012,ㅋㅋ 가능한 이야기 좀 하자 모병제 돌리면 군대 누가 가냐 표 얻자고 또 말도안되는 공약 내려고하네,9,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@user-dt3ik8hz7v,모병제로 사탕발림 하고 끝날것이 아니라 지금부터 해야 할거는 기존에 있는 말도 안되는 페미니즘 정책부터 다 철회해야한다!! 예전에 20대 남성들의 지지율이 떨어지는게 특별한 문제가 아니라고 헛소리하는 대통령부터 많은 정치인들이 2-30 대 남성들은 기득권 세력이라는 거지같은 마인드를 좀 버리고 페미니즘의 문제점을 인식 하는게 중요하다.근데 정치인들은 아직도 남성 역차별을 인식 못하고 페미들의 횡포를 그저 애교로만 생각하고 있으니 진짜 앞으로의 2-30대 남자들의 미래가 암울하다!!,2,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@hoji351,역시 유토피아에 사는 저쪽 동네 사람들...;;ㅉㅉ,27,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@user-kk5mi1jx6m,이미 늦었다 ㅋㅋㅋ  너무 나갔어,15,b,1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@stayer955,하하!! 드디어 심판의 날이 도래했다,8,b,1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@JJNAX,1년 전 뉴스네? 결국 아무것도 못했다는 소리네...,2,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@user-zm3uh8ir1u,돈많은더불어여세금폭탄국민한테던지지말고당비로모병해라🇰🇷,6,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@user-fz9er8xn9q,응 선거로 털어줬지요?,2,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@smh9794,20대 남성만 잡어 30~40대 남자들도 니들 민주패미당에 질려버렸다,11,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@user-qz6ed5ub1k,눈가리고 아웅해봐야 안통하지 ㅋㅋㅋ 지금이 무슨 티비만 쳐보는 시대임?,1,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@user-jv7bt3mq3o,아니 군대 이슈가 아니라고 핵심은ㅡㅡ,1,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@user-xc5jz8ch7h,마음 처돌릴 생각만하니까ㅋ 민주당 수준임ㅋㅋ 안뽑는데는 이유가있음,2,b,1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@ss_snowman_ss,절대 못돌아갈듯,1,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@zacfronlee6850,교사채용좀 .... 확대나 더해줘 ...,3,b,-1
"총선 앞둔 민주당 특명, _20대 男의 마음을 돌려라!_ _ YTN",@ryqui2710,걍 페미 쓰레기통에 갖다 버리고지금까지 젊은 남자들 잠재적 성범죄자 취급하던 거 사과하면자동으로 마음 돌려져근데 절대 그렇게 안 하겠지 ㅋㅋㅋㅋㅋ,2,b,-1
